n,p,speedup,efficiency
10.000000,1.000000,1.000000,1.000000
10.000000,2.000000,1.960784,0.980392
10.000000,4.000000,3.703704,0.925926
10.000000,8.000000,6.451613,0.806452
10.000000,16.000000,9.756098,0.609756
10.000000,32.000000,12.307692,0.384615
10.000000,64.000000,13.223140,0.206612
10.000000,128.000000,12.851406,0.100402
20.000000,1.000000,1.000000,1.000000
20.000000,2.000000,1.990050,0.995025
20.000000,4.000000,3.921569,0.980392
20.000000,8.000000,7.547170,0.943396
20.000000,16.000000,13.793103,0.862069
20.000000,32.000000,22.857143,0.714286
20.000000,64.000000,32.653061,0.510204
20.000000,128.000000,39.506173,0.308642
40.000000,1.000000,1.000000,1.000000
40.000000,2.000000,1.997503,0.998752
40.000000,4.000000,3.980100,0.995025
40.000000,8.000000,7.881773,0.985222
40.000000,16.000000,15.384615,0.961538
40.000000,32.000000,29.090909,0.909091
40.000000,64.000000,51.612903,0.806452
40.000000,128.000000,82.051282,0.641026
80.000000,1.000000,1.000000,1.000000
80.000000,2.000000,1.999375,0.999688
80.000000,4.000000,3.995006,0.998752
80.000000,8.000000,7.970112,0.996264
80.000000,16.000000,15.841584,0.990099
80.000000,32.000000,31.219512,0.975610
80.000000,64.000000,60.377358,0.943396
80.000000,128.000000,112.280702,0.877193
160.000000,1.000000,1.000000,1.000000
160.000000,2.000000,1.999844,0.999922
160.000000,4.000000,3.998750,0.999688
160.000000,8.000000,7.992507,0.999063
160.000000,16.000000,15.960100,0.997506
160.000000,32.000000,31.801242,0.993789
160.000000,64.000000,63.054187,0.985222
160.000000,128.000000,123.671498,0.966184
320.000000,1.000000,1.000000,1.000000
320.000000,2.000000,1.999961,0.999980
320.000000,4.000000,3.999688,0.999922
320.000000,8.000000,7.998125,0.999766
320.000000,16.000000,15.990006,0.999375
320.000000,32.000000,31.950078,0.998440
320.000000,64.000000,63.760897,0.996264
320.000000,128.000000,126.889715,0.991326
